[2020-03-22 12:16:17,561] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_state
[2020-03-22 12:16:17,576] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu
[2020-03-22 12:16:22,472] [server.py:122] [server:connectionLost] [INFO]- 断开连接！
[2020-03-22 12:21:59,484] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_state
[2020-03-22 12:21:59,499] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu
[2020-03-22 12:27:45,813] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_state
[2020-03-22 12:27:45,827] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu
[2020-03-22 12:27:58,216] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_state
[2020-03-22 12:27:58,231] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu
[2020-03-22 12:27:59,715] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_state
[2020-03-22 12:27:59,748] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu
[2020-03-22 12:28:01,829] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_state
[2020-03-22 12:28:01,846] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu
[2020-03-22 12:59:33,766] [server.py:122] [server:connectionLost] [INFO]- 断开连接！
[2020-03-22 12:59:40,027] [server.py:132] [server:dataReceived] [INFO]- ip: 127.0.0.1，发送了b'\x00'数据帧
[2020-03-22 12:59:43,879] [server.py:132] [server:dataReceived] [INFO]- ip: 127.0.0.1，发送了b'\x01\x03 @fff\x00\x00\x00\n>\xc8\xceq\x07\xec\x80\x04\x02\x13"\x01\x00\x00\x0e!\x012\x00d_\xfc\x00\x01]\xa4'数据帧
[2020-03-22 12:59:47,803] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_state
[2020-03-22 12:59:47,819] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_dtu
[2020-03-22 13:00:04,163] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：update_meter
[2020-03-22 13:01:25,406] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：update_meter
[2020-03-22 13:02:13,332] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_meter
[2020-03-22 13:02:13,347] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-22 13:02:17,433] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：update_meter
[2020-03-22 13:02:18,795] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_meter
[2020-03-22 13:02:18,799] [common.py:63] [common:get_action_handler] [INFO]- 当前正在操作action：query_manufacturer
[2020-03-22 13:02:29,157] [server.py:132] [server:dataReceived] [INFO]- ip: 127.0.0.1，发送了b'\x00'数据帧
[2020-03-22 13:02:35,759] [server.py:132] [server:dataReceived] [INFO]- ip: 127.0.0.1，发送了b'\x01\x03 @fff\x00\x00\x00\n>\xc8\xceq\x07\xec\x80\x04\x02\x13"\x01\x00\x00\x0e!\x012\x00d_\xfc\x00\x01]\xa4'数据帧
[2020-03-22 13:04:52,165] [server.py:132] [server:dataReceived] [INFO]- ip: 127.0.0.1，发送了b'\x00'数据帧
